epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.655,1.64104,3.06859,1.7159,0.00333,1,0.98105,0.66616,1.29622,2.90841,1.40987,0.00016,0.00016,0.00016
2,411.3,0.86655,1.32019,1.06238,0.98733,0.90698,0.97417,0.63897,1.40097,3.19356,1.63799,0.000336634,0.000336634,0.000336634
3,499.661,0.8471,1.21174,1.06756,1,0.74138,0.95082,0.66089,1.68865,3.25418,1.63611,0.000509704,0.000509704,0.000509704
4,561.627,0.75418,1.05798,1.02277,0.99139,0.89261,0.98528,0.79221,0.99687,2.23997,1.17892,0.00067921,0.00067921,0.00067921
5,627.116,0.6972,2.64437,0.93994,0.99195,0.9553,0.99407,0.75016,0.81384,2.04769,1.09849,0.000845152,0.000845152,0.000845152
6,728.885,0.79091,1.12207,1.06637,0.98411,0.95992,0.99333,0.82921,0.71786,1.33899,1.06571,0.00100753,0.00100753,0.00100753
7,807.458,0.7299,0.99927,0.98112,0.93826,0.94245,0.96795,0.69839,1.08959,1.8568,1.39421,0.00116634,0.00116634,0.00116634
8,865.015,0.73211,0.94827,1.02034,0.90619,0.89859,0.91996,0.57912,1.61948,2.14893,1.82347,0.00132159,0.00132159,0.00132159
9,929.364,0.70623,0.85951,0.9928,0.89195,0.84496,0.91629,0.69416,0.9893,2.56597,1.33424,0.00147328,0.00147328,0.00147328
10,994.503,0.80063,0.95582,1.02335,0.95691,0.86081,0.96946,0.75852,0.96704,1.62914,1.20936,0.0016214,0.0016214,0.0016214
11,1086.91,0.74177,0.82958,1.05681,0.95474,0.98105,0.99016,0.84208,0.71427,1.03031,1.00695,0.00176596,0.00176596,0.00176596
12,1148.05,0.75085,0.8084,1.02235,0.99156,1,0.98923,0.8256,0.63175,0.75844,0.94198,0.0017822,0.0017822,0.0017822
13,1213.3,0.74578,0.77202,1.01432,0.90143,0.9845,0.96553,0.71617,0.88737,1.40489,1.10842,0.0017624,0.0017624,0.0017624
14,1279.4,0.75472,0.79594,1.0264,0.98273,1,0.99454,0.85224,0.65869,1.22098,0.96251,0.0017426,0.0017426,0.0017426
15,1345.85,0.7399,0.74926,0.9867,0.99909,1,0.995,0.86644,0.59877,1.00891,0.94108,0.0017228,0.0017228,0.0017228
16,1410.26,0.68065,0.73955,0.96919,1,0.9987,0.995,0.87451,0.57862,1.0015,0.9128,0.001703,0.001703,0.001703
